Nuevo entrenamiento
Generaciones: 1500 - Poblacion: 100
Gen 1/1500 | Mejor: 421.3 | Record: 421.3
Gen 2/1500 | Mejor: 424.3 | Record: 424.3
Gen 3/1500 | Mejor: 438.7 | Record: 438.7
Gen 4/1500 | Mejor: 412.3 | Record: 438.7
Gen 5/1500 | Mejor: 409.3 | Record: 438.7
Gen 6/1500 | Mejor: 396.9 | Record: 438.7
Gen 7/1500 | Mejor: 424.3 | Record: 438.7
Gen 8/1500 | Mejor: 400.0 | Record: 438.7
Gen 9/1500 | Mejor: 441.6 | Record: 441.6
Gen 10/1500 | Mejor: 412.3 | Record: 441.6
Gen 11/1500 | Mejor: 430.1 | Record: 441.6
Gen 12/1500 | Mejor: 393.7 | Record: 441.6
Gen 13/1500 | Mejor: 418.3 | Record: 441.6
Gen 14/1500 | Mejor: 412.3 | Record: 441.6
Gen 15/1500 | Mejor: 406.2 | Record: 441.6
Gen 16/1500 | Mejor: 418.3 | Record: 441.6
Gen 17/1500 | Mejor: 427.2 | Record: 441.6
Gen 18/1500 | Mejor: 396.9 | Record: 441.6
Gen 19/1500 | Mejor: 415.3 | Record: 441.6
Gen 20/1500 | Mejor: 424.3 | Record: 441.6
Gen 21/1500 | Mejor: 421.3 | Record: 441.6
Gen 22/1500 | Mejor: 393.7 | Record: 441.6
Gen 23/1500 | Mejor: 433.0 | Record: 441.6
Gen 24/1500 | Mejor: 430.1 | Record: 441.6
Gen 25/1500 | Mejor: 409.3 | Record: 441.6
Gen 26/1500 | Mejor: 409.3 | Record: 441.6
Gen 27/1500 | Mejor: 406.2 | Record: 441.6
Gen 28/1500 | Mejor: 409.3 | Record: 441.6
  [sigma ajustado a 0.144]
Gen 29/1500 | Mejor: 415.3 | Record: 441.6
Gen 30/1500 | Mejor: 374.2 | Record: 441.6
Gen 31/1500 | Mejor: 353.6 | Record: 441.6
Gen 32/1500 | Mejor: 438.7 | Record: 441.6
Gen 33/1500 | Mejor: 409.3 | Record: 441.6
Gen 34/1500 | Mejor: 415.3 | Record: 441.6
Gen 35/1500 | Mejor: 387.3 | Record: 441.6
