Nuevo entrenamiento
Generaciones: 500 - Poblacion: 154
Gen 1/500 | Mejor: 282.8 | Record: 282.8
Gen 2/500 | Mejor: 418.3 | Record: 418.3
Gen 3/500 | Mejor: 377.5 | Record: 418.3
Gen 4/500 | Mejor: 360.6 | Record: 418.3
Gen 5/500 | Mejor: 350.0 | Record: 418.3
Gen 6/500 | Mejor: 353.6 | Record: 418.3
Gen 7/500 | Mejor: 353.6 | Record: 418.3
Gen 8/500 | Mejor: 384.1 | Record: 418.3
Gen 9/500 | Mejor: 418.3 | Record: 418.3
Gen 10/500 | Mejor: 346.4 | Record: 418.3
Gen 11/500 | Mejor: 364.0 | Record: 418.3
Gen 12/500 | Mejor: 350.0 | Record: 418.3
Gen 13/500 | Mejor: 477.0 | Record: 477.0
Gen 14/500 | Mejor: 357.1 | Record: 477.0
Gen 15/500 | Mejor: 502.5 | Record: 502.5
Gen 16/500 | Mejor: 342.8 | Record: 502.5
Gen 17/500 | Mejor: 324.0 | Record: 502.5
Gen 18/500 | Mejor: 278.4 | Record: 502.5
Gen 19/500 | Mejor: 502.5 | Record: 502.5
Gen 20/500 | Mejor: 327.9 | Record: 502.5
Gen 21/500 | Mejor: 331.7 | Record: 502.5
Gen 22/500 | Mejor: 427.2 | Record: 502.5
Gen 23/500 | Mejor: 327.9 | Record: 502.5
Gen 24/500 | Mejor: 287.2 | Record: 502.5
Gen 25/500 | Mejor: 335.4 | Record: 502.5
Gen 26/500 | Mejor: 396.9 | Record: 502.5
Gen 27/500 | Mejor: 331.7 | Record: 502.5
Gen 28/500 | Mejor: 370.8 | Record: 502.5
Gen 29/500 | Mejor: 400.0 | Record: 502.5
Gen 30/500 | Mejor: 463.7 | Record: 502.5
Gen 31/500 | Mejor: 447.2 | Record: 502.5
Gen 32/500 | Mejor: 444.4 | Record: 502.5
Gen 33/500 | Mejor: 370.8 | Record: 502.5
Gen 34/500 | Mejor: 400.0 | Record: 502.5
Gen 35/500 | Mejor: 526.8 | Record: 526.8
Gen 36/500 | Mejor: 278.4 | Record: 526.8
Gen 37/500 | Mejor: 400.0 | Record: 526.8
Gen 38/500 | Mejor: 308.2 | Record: 526.8
Gen 39/500 | Mejor: 380.8 | Record: 526.8
Gen 40/500 | Mejor: 360.6 | Record: 526.8
Gen 41/500 | Mejor: 320.2 | Record: 526.8
Gen 42/500 | Mejor: 350.0 | Record: 526.8
Gen 43/500 | Mejor: 287.2 | Record: 526.8
