Nuevo entrenamiento
Generaciones: 100 - Poblacion: 150
Gen 1/100 | Mejor: 477.0 | Record: 477.0
Gen 2/100 | Mejor: 497.5 | Record: 497.5
Gen 3/100 | Mejor: 505.0 | Record: 505.0
Gen 4/100 | Mejor: 471.7 | Record: 505.0
Gen 5/100 | Mejor: 474.3 | Record: 505.0
Gen 6/100 | Mejor: 455.5 | Record: 505.0
Gen 7/100 | Mejor: 484.8 | Record: 505.0
Gen 8/100 | Mejor: 458.3 | Record: 505.0
Gen 9/100 | Mejor: 438.7 | Record: 505.0
Gen 10/100 | Mejor: 447.2 | Record: 505.0
Gen 11/100 | Mejor: 495.0 | Record: 505.0
Gen 12/100 | Mejor: 463.7 | Record: 505.0
Gen 13/100 | Mejor: 441.6 | Record: 505.0
Gen 14/100 | Mejor: 471.7 | Record: 505.0
Gen 15/100 | Mejor: 466.4 | Record: 505.0
Gen 16/100 | Mejor: 346.4 | Record: 505.0
Gen 17/100 | Mejor: 421.3 | Record: 505.0
Gen 18/100 | Mejor: 458.3 | Record: 505.0
Gen 19/100 | Mejor: 466.4 | Record: 505.0
Gen 20/100 | Mejor: 400.0 | Record: 505.0
Gen 21/100 | Mejor: 450.0 | Record: 505.0
Gen 22/100 | Mejor: 450.0 | Record: 505.0
  [sigma ajustado a 0.206]
Gen 23/100 | Mejor: 447.2 | Record: 505.0
Gen 24/100 | Mejor: 495.0 | Record: 505.0
Gen 25/100 | Mejor: 400.0 | Record: 505.0
Gen 26/100 | Mejor: 357.1 | Record: 505.0
Gen 27/100 | Mejor: 444.4 | Record: 505.0
Gen 28/100 | Mejor: 474.3 | Record: 505.0
Gen 29/100 | Mejor: 474.3 | Record: 505.0
Gen 30/100 | Mejor: 327.9 | Record: 505.0
Gen 31/100 | Mejor: 433.0 | Record: 505.0
Gen 32/100 | Mejor: 421.3 | Record: 505.0
Gen 33/100 | Mejor: 415.3 | Record: 505.0
Gen 34/100 | Mejor: 393.7 | Record: 505.0
Gen 35/100 | Mejor: 482.2 | Record: 505.0
Gen 36/100 | Mejor: 441.6 | Record: 505.0
Gen 37/100 | Mejor: 438.7 | Record: 505.0
Gen 38/100 | Mejor: 500.0 | Record: 505.0
Gen 39/100 | Mejor: 461.0 | Record: 505.0
Gen 40/100 | Mejor: 433.0 | Record: 505.0
Gen 41/100 | Mejor: 444.4 | Record: 505.0
Gen 42/100 | Mejor: 387.3 | Record: 505.0
  [sigma ajustado a 0.247]
Gen 43/100 | Mejor: 424.3 | Record: 505.0
Gen 44/100 | Mejor: 393.7 | Record: 505.0
Gen 45/100 | Mejor: 278.4 | Record: 505.0
Gen 46/100 | Mejor: 406.2 | Record: 505.0
Gen 47/100 | Mejor: 450.0 | Record: 505.0
Gen 48/100 | Mejor: 433.0 | Record: 505.0
Gen 49/100 | Mejor: 406.2 | Record: 505.0
Gen 50/100 | Mejor: 374.2 | Record: 505.0
Gen 51/100 | Mejor: 387.3 | Record: 505.0
Gen 52/100 | Mejor: 463.7 | Record: 505.0
Gen 53/100 | Mejor: 287.2 | Record: 505.0
Gen 54/100 | Mejor: 384.1 | Record: 505.0
Gen 55/100 | Mejor: 350.0 | Record: 505.0
Gen 56/100 | Mejor: 291.5 | Record: 505.0
Gen 57/100 | Mejor: 380.8 | Record: 505.0
Gen 58/100 | Mejor: 353.6 | Record: 505.0
Gen 59/100 | Mejor: 400.0 | Record: 505.0
Gen 60/100 | Mejor: 406.2 | Record: 505.0
