Nuevo entrenamiento
Generaciones: 100 - Poblacion: 400
Gen 1/100 | Mejor: 327.9 | Promedio: 63.17 | Record: 327.9
Gen 2/100 | Mejor: 316.2 | Promedio: 62.24 | Record: 327.9
Gen 3/100 | Mejor: 342.8 | Promedio: 61.3 | Record: 342.8
Gen 4/100 | Mejor: 474.3 | Promedio: 61.65 | Record: 474.3
Gen 5/100 | Mejor: 335.4 | Promedio: 65.37 | Record: 474.3
Gen 6/100 | Mejor: 424.3 | Promedio: 68.19 | Record: 474.3
Gen 7/100 | Mejor: 331.7 | Promedio: 70.12 | Record: 474.3
Gen 8/100 | Mejor: 324.0 | Promedio: 67.01 | Record: 474.3
Gen 9/100 | Mejor: 400.0 | Promedio: 69.04 | Record: 474.3
Gen 10/100 | Mejor: 357.1 | Promedio: 73.05 | Record: 474.3
Gen 11/100 | Mejor: 444.4 | Promedio: 70.2 | Record: 474.3
Gen 12/100 | Mejor: 295.8 | Promedio: 73.06 | Record: 474.3
Gen 13/100 | Mejor: 331.7 | Promedio: 70.02 | Record: 474.3
Gen 14/100 | Mejor: 424.3 | Promedio: 71.66 | Record: 474.3
Gen 15/100 | Mejor: 339.1 | Promedio: 73.55 | Record: 474.3
Gen 16/100 | Mejor: 418.3 | Promedio: 79.31 | Record: 474.3
Gen 17/100 | Mejor: 312.2 | Promedio: 81.51 | Record: 474.3
Gen 18/100 | Mejor: 458.3 | Promedio: 79.7 | Record: 474.3
Gen 19/100 | Mejor: 327.9 | Promedio: 81.13 | Record: 474.3
Gen 20/100 | Mejor: 421.3 | Promedio: 80.28 | Record: 474.3
Gen 21/100 | Mejor: 396.9 | Promedio: 81.98 | Record: 474.3
Gen 22/100 | Mejor: 396.9 | Promedio: 79.7 | Record: 474.3
Gen 23/100 | Mejor: 282.8 | Promedio: 77.96 | Record: 474.3
  [sigma ajustado a 0.206]
Gen 24/100 | Mejor: 367.4 | Promedio: 88.23 | Record: 474.3
Gen 25/100 | Mejor: 380.8 | Promedio: 83.22 | Record: 474.3
Gen 26/100 | Mejor: 396.9 | Promedio: 81.79 | Record: 474.3
Gen 27/100 | Mejor: 415.3 | Promedio: 83.63 | Record: 474.3
Gen 28/100 | Mejor: 353.6 | Promedio: 82.4 | Record: 474.3
Gen 29/100 | Mejor: 450.0 | Promedio: 87.78 | Record: 474.3
Gen 30/100 | Mejor: 244.9 | Promedio: 76.5 | Record: 474.3
Gen 31/100 | Mejor: 374.2 | Promedio: 81.39 | Record: 474.3
Gen 32/100 | Mejor: 424.3 | Promedio: 81.48 | Record: 474.3
Gen 33/100 | Mejor: 393.7 | Promedio: 80.77 | Record: 474.3
Gen 34/100 | Mejor: 406.2 | Promedio: 83.39 | Record: 474.3
Gen 35/100 | Mejor: 335.4 | Promedio: 79.06 | Record: 474.3
Gen 36/100 | Mejor: 471.7 | Promedio: 84.79 | Record: 474.3
Gen 37/100 | Mejor: 403.1 | Promedio: 85.82 | Record: 474.3
Gen 38/100 | Mejor: 300.0 | Promedio: 81.72 | Record: 474.3
Gen 39/100 | Mejor: 308.2 | Promedio: 80.52 | Record: 474.3
Gen 40/100 | Mejor: 316.2 | Promedio: 79.29 | Record: 474.3
Gen 41/100 | Mejor: 487.3 | Promedio: 81.23 | Record: 487.3
Gen 42/100 | Mejor: 396.9 | Promedio: 80.61 | Record: 487.3
Gen 43/100 | Mejor: 353.6 | Promedio: 87.0 | Record: 487.3
