Nuevo entrenamiento
Generaciones: 1000 - Poblacion: 50
Gen 1/1000 | Mejor: 353.6 | Record: 353.6
Gen 2/1000 | Mejor: 217.9 | Record: 353.6
Gen 3/1000 | Mejor: 374.2 | Record: 374.2
Gen 4/1000 | Mejor: 316.2 | Record: 374.2
Gen 5/1000 | Mejor: 223.6 | Record: 374.2
Gen 6/1000 | Mejor: 234.5 | Record: 374.2
Gen 7/1000 | Mejor: 200.0 | Record: 374.2
Gen 8/1000 | Mejor: 438.7 | Record: 438.7
Gen 9/1000 | Mejor: 264.6 | Record: 438.7
Gen 10/1000 | Mejor: 259.8 | Record: 438.7
Gen 11/1000 | Mejor: 364.0 | Record: 438.7
Gen 12/1000 | Mejor: 239.8 | Record: 438.7
Gen 13/1000 | Mejor: 234.5 | Record: 438.7
Gen 14/1000 | Mejor: 255.0 | Record: 438.7
Gen 15/1000 | Mejor: 264.6 | Record: 438.7
Gen 16/1000 | Mejor: 295.8 | Record: 438.7
Gen 17/1000 | Mejor: 505.0 | Record: 505.0
Gen 18/1000 | Mejor: 287.2 | Record: 505.0
Gen 19/1000 | Mejor: 264.6 | Record: 505.0
Gen 20/1000 | Mejor: 308.2 | Record: 505.0
Gen 21/1000 | Mejor: 282.8 | Record: 505.0
Gen 22/1000 | Mejor: 234.5 | Record: 505.0
Gen 23/1000 | Mejor: 250.0 | Record: 505.0
Gen 24/1000 | Mejor: 158.1 | Record: 505.0
Gen 25/1000 | Mejor: 308.2 | Record: 505.0
Gen 26/1000 | Mejor: 206.2 | Record: 505.0
Gen 27/1000 | Mejor: 212.1 | Record: 505.0
Gen 28/1000 | Mejor: 200.0 | Record: 505.0
Gen 29/1000 | Mejor: 229.1 | Record: 505.0
Gen 30/1000 | Mejor: 206.2 | Record: 505.0
Gen 31/1000 | Mejor: 316.2 | Record: 505.0
Gen 32/1000 | Mejor: 234.5 | Record: 505.0
Gen 33/1000 | Mejor: 239.8 | Record: 505.0
Gen 34/1000 | Mejor: 200.0 | Record: 505.0
Gen 35/1000 | Mejor: 206.2 | Record: 505.0
Gen 36/1000 | Mejor: 291.5 | Record: 505.0
  [sigma ajustado a 0.144]
