Nuevo entrenamiento
Generaciones: 500 - Poblacion: 170
Gen 1/500 | Mejor: 576.6 | Record: 576.6
Gen 2/500 | Mejor: 576.6 | Record: 576.6
Gen 3/500 | Mejor: 567.9 | Record: 576.6
Gen 4/500 | Mejor: 567.9 | Record: 576.6
Gen 5/500 | Mejor: 561.2 | Record: 576.6
Gen 6/500 | Mejor: 572.3 | Record: 576.6
Gen 7/500 | Mejor: 567.9 | Record: 576.6
Gen 8/500 | Mejor: 563.5 | Record: 576.6
Gen 9/500 | Mejor: 576.6 | Record: 576.6
Gen 10/500 | Mejor: 561.2 | Record: 576.6
Gen 11/500 | Mejor: 572.3 | Record: 576.6
Gen 12/500 | Mejor: 563.5 | Record: 576.6
Gen 13/500 | Mejor: 561.2 | Record: 576.6
Gen 14/500 | Mejor: 563.5 | Record: 576.6
Gen 15/500 | Mejor: 565.7 | Record: 576.6
Gen 16/500 | Mejor: 561.2 | Record: 576.6
Gen 17/500 | Mejor: 563.5 | Record: 576.6
Gen 18/500 | Mejor: 563.5 | Record: 576.6
Gen 19/500 | Mejor: 561.2 | Record: 576.6
Gen 20/500 | Mejor: 563.5 | Record: 576.6
  [sigma ajustado a 0.420]
  [reset sigma → 0.05]
Gen 21/500 | Mejor: 576.6 | Record: 576.6
Gen 22/500 | Mejor: 567.9 | Record: 576.6
Gen 23/500 | Mejor: 567.9 | Record: 576.6
Gen 24/500 | Mejor: 565.7 | Record: 576.6
Gen 25/500 | Mejor: 561.2 | Record: 576.6
Gen 26/500 | Mejor: 574.5 | Record: 576.6
Gen 27/500 | Mejor: 565.7 | Record: 576.6
Gen 28/500 | Mejor: 565.7 | Record: 576.6
Gen 29/500 | Mejor: 563.5 | Record: 576.6
Gen 30/500 | Mejor: 563.5 | Record: 576.6
Gen 31/500 | Mejor: 563.5 | Record: 576.6
Gen 32/500 | Mejor: 563.5 | Record: 576.6
Gen 33/500 | Mejor: 572.3 | Record: 576.6
Gen 34/500 | Mejor: 567.9 | Record: 576.6
Gen 35/500 | Mejor: 565.7 | Record: 576.6
Gen 36/500 | Mejor: 563.5 | Record: 576.6
Gen 37/500 | Mejor: 561.2 | Record: 576.6
Gen 38/500 | Mejor: 561.2 | Record: 576.6
Gen 39/500 | Mejor: 565.7 | Record: 576.6
Gen 40/500 | Mejor: 567.9 | Record: 576.6
  [sigma ajustado a 0.060]
Gen 41/500 | Mejor: 563.5 | Record: 576.6
Gen 42/500 | Mejor: 563.5 | Record: 576.6
Gen 43/500 | Mejor: 570.1 | Record: 576.6
Gen 44/500 | Mejor: 563.5 | Record: 576.6
Gen 45/500 | Mejor: 576.6 | Record: 576.6
Gen 46/500 | Mejor: 567.9 | Record: 576.6
Gen 47/500 | Mejor: 567.9 | Record: 576.6
Gen 48/500 | Mejor: 567.9 | Record: 576.6
Gen 49/500 | Mejor: 570.1 | Record: 576.6
Gen 50/500 | Mejor: 567.9 | Record: 576.6
Gen 51/500 | Mejor: 563.5 | Record: 576.6
Gen 52/500 | Mejor: 565.7 | Record: 576.6
Gen 53/500 | Mejor: 565.7 | Record: 576.6
Gen 54/500 | Mejor: 561.2 | Record: 576.6
Gen 55/500 | Mejor: 570.1 | Record: 576.6
Gen 56/500 | Mejor: 563.5 | Record: 576.6
Gen 57/500 | Mejor: 559.0 | Record: 576.6
Gen 58/500 | Mejor: 567.9 | Record: 576.6
Gen 59/500 | Mejor: 563.5 | Record: 576.6
Gen 60/500 | Mejor: 572.3 | Record: 576.6
  [sigma ajustado a 0.072]
Gen 61/500 | Mejor: 567.9 | Record: 576.6
Gen 62/500 | Mejor: 563.5 | Record: 576.6
Gen 63/500 | Mejor: 563.5 | Record: 576.6
Gen 64/500 | Mejor: 567.9 | Record: 576.6
Gen 65/500 | Mejor: 567.9 | Record: 576.6
Gen 66/500 | Mejor: 565.7 | Record: 576.6
Gen 67/500 | Mejor: 572.3 | Record: 576.6
Gen 68/500 | Mejor: 570.1 | Record: 576.6
Gen 69/500 | Mejor: 563.5 | Record: 576.6
Gen 70/500 | Mejor: 574.5 | Record: 576.6
Gen 71/500 | Mejor: 565.7 | Record: 576.6
Gen 72/500 | Mejor: 563.5 | Record: 576.6
Gen 73/500 | Mejor: 563.5 | Record: 576.6
Gen 74/500 | Mejor: 570.1 | Record: 576.6
Gen 75/500 | Mejor: 565.7 | Record: 576.6
Gen 76/500 | Mejor: 563.5 | Record: 576.6
Gen 77/500 | Mejor: 565.7 | Record: 576.6
Gen 78/500 | Mejor: 563.5 | Record: 576.6
Gen 79/500 | Mejor: 561.2 | Record: 576.6
Gen 80/500 | Mejor: 563.5 | Record: 576.6
  [sigma ajustado a 0.086]
Gen 81/500 | Mejor: 565.7 | Record: 576.6
Gen 82/500 | Mejor: 570.1 | Record: 576.6
